Annotee-Identifier	Human-Readable-Description
OG0007070	nucleoside diphosphate kinase
OG0001310	chloride channel protein clc
OG0001628	receptor type tyrosine protein phosphatase
OG0010383	store operated calcium entry regulator stimate
OG0011461	ankyrin repeat and socs box protein
OG0008459	haus augmin complex subunit
OG0004040	ankyrin repeat and socs box protein
OG0015475	mast cell protease
OG0004007	presenilin
OG0003017	rds peripherin protein
OG0002058	death associated protein kinase
OG0013355	interferon activable protein 205
OG0014364	thymosin beta
OG0009578	cilia and flagella associated protein
OG0004680	nedd binding protein
OG0011660	synaptic plasticity regulator pants
OG0002363	tumor necrosis factor alpha induced protein
OG0015230	myc proto oncogene protein
OG0007574	choline phosphate cytidylyltransferase
OG0008692	saysvfn domain containing protein
OG0010118	testis expressed protein
OG0000306	serine arginine rich splicing factor
OG0004960	hsp binding protein
OG0007910	ribosomal rna large subunit methyltransferase f
OG0007703	interferon induced kda protein
OG0003031	h 2 class i histocompatibility antigen 37 alpha chain
OG0006927	camp dependent protein kinase catalytic subunit
OG0001632	histone lysine n methyltransferase h3 specific
OG0006609	ankyrin repeat domain containing protein
OG0012099	tudor domain containing protein
OG0012290	e3 ubiquitin protein ligase nedd
OG0010602	pml rara regulated adapter molecule
OG0014186	spermatogenesis associated protein
OG0000501	cytochrome p450
OG0006959	protein s100 a14
OG0011182	centrosome associated protein cep
OG0013020	dual specificity protein phosphatase
OG0001851	sh domain containing kinase binding protein
OG0000931	olfactory receptor 8u3
OG0013519	c chemokine receptor type
OG0006456	nad p h dehydrogenase [quinone]
OG0003404	protein epsilon
OG0008126	zinc finger c3h1 domain containing protein
OG0015497	cd antigen
OG0013235	dna repair and recombination protein rad
OG0015119	melanoma associated antigen
OG0004471	chaperone protein dnaj
OG0006095	transmembrane protein
OG0009480	dna polymerase delta subunit
OG0003902	zinc finger ccch domain containing protein
OG0006110	apolipoprotein a i
OG0010683	e3 ubiquitin protein ligase rnf
OG0014068	succinate semialdehyde dehydrogenase mitochondrial
OG0000605	biotinidase
OG0004638	pachytene checkpoint protein
OG0004713	cornifelin
OG0001030	krab zinc finger protein
OG0009024	sperm microtubule associated protein
OG0011777	phospholipase b protein
OG0001612	polypeptide n acetylgalactosaminyltransferase
OG0006029	secretagogin
OG0005025	unknown sequence family
OG0012577	phosphatidylinositol glycan biosynthesis class x protein
OG0010504	6 phosphogluconolactonase 3
OG0013146	amelogenin
OG0015025	interferon activable protein
OG0000370	galectin protein
OG0014637	transcription factor
OG0004550	vacuolar protein sorting associated
OG0006129	cilia and flagella associated protein
OG0001829	e3 ubiquitin protein ligase uhrf
OG0015257	zinc finger and btb domain containing protein
OG0000355	cytochrome p450 7a1
OG0003919	p antigen family member
OG0010894	protein o glucosyltransferase
OG0011343	undecaprenyl phosphate 4 deoxy formamido l arabinose transferase
OG0005599	amyloid beta a4 precursor protein binding family a member
OG0009590	vascular endothelial growth factor a
OG0011853	rho gtpase activating protein
OG0010993	pax interacting protein
OG0004016	amine oxidase [flavin containing]
OG0008345	substance p receptor
OG0003610	histone h2b type 1
OG0009207	coiled coil domain containing protein
OG0004832	calcium homeostasis modulator protein
OG0011038	unknown sequence family
OG0011914	dna excision repair protein ercc
OG0007240	protein delta
OG0011888	haloacid dehalogenase hydrolase domain containing
OG0014885	olfactory receptor
OG0011696	g protein coupled receptor family c group member
OG0014594	zinc finger and protein
OG0001831	sodium potassium calcium exchanger
OG0011339	extracellular matrix protein fras
OG0009586	cdkn2aip n terminal protein
OG0014422	non selective voltage gated ion channel vdac
OG0010992	keratin type i cytoskeletal 18
OG0008484	phd finger protein
OG0012390	uromodulin
OG0012542	sparc protein
OG0012661	zinc finger protein
OG0000121	cyclin dependent kinase 1
OG0005259	adp sugar pyrophosphatase
OG0012142	lymphocyte antigen
OG0001160	pou domain class 3 transcription factor 1
OG0000888	phd finger protein
OG0012656	coiled coil domain containing protein
OG0012475	speriolin protein
OG0012026	bbsome interacting protein
OG0011330	aquaporin
OG0008341	dynein axonemal assembly factor
OG0010232	cobalamin trafficking protein cbld
OG0008337	utp glucose phosphate uridylyltransferase
OG0001116	moesin ezrin radixin
OG0012320	atp dependent clp protease binding subunit clpx
OG0002337	homeobox protein hox d3
OG0007916	e3 ubiquitin protein ligase pdzrn
OG0008350	protransforming growth factor alpha
OG0011297	pre mrna processing factor
OG0012478	endoribonuclease ybey
OG0008218	dna directed rna polymerases ii and subunit
OG0006759	protein lysine n methyltransferase eef2kmt
OG0005382	cub and sushi domain containing protein
OG0003197	acyl coa binding protein
OG0002532	c motif chemokine
OG0014840	iroquois class homeodomain protein irx
OG0007589	regulatory associated protein of tor
OG0011053	visual system homeobox
OG0001680	sulfhydryl oxidase
OG0008549	krueppel factor
OG0000861	large ribosomal subunit protein el
OG0008006	cytoplasmic dynein intermediate chain
OG0010843	succinate coa ligase forming] subunit beta
OG0005581	poly a rna polymerase gld
OG0004990	cyclic amp dependent transcription factor atf
OG0000079	cationic amino acid transporter 2
OG0000511	elongin c
OG0009797	dna repair protein rad
OG0009689	lbh protein
OG0010563	transmembrane protein
OG0000109	vomeronasal type receptor
OG0005634	gdp d glucose phosphorylase
OG0009584	storkhead box protein
OG0005410	protein phosphatase eya
OG0005534	fibroblast growth factor binding protein
OG0000914	cytosolic phospholipase a2
OG0006674	serine threonine protein kinase tao
OG0015185	alpha s2 casein
OG0013688	plasma membrane ascorbate dependent reductase
OG0014836	beta arrestin
OG0001122	large ribosomal subunit protein ul
OG0009772	unknown sequence family
OG0013979	beta galactosidase protein
OG0004181	g2 mitotic specific cyclin
OG0007458	interferon alpha inducible protein 27
OG0004495	single stranded dna binding protein 1
OG0011497	frizzled
OG0004837	alpha syntrophin
OG0004398	potential vesicular glutamate transporter
OG0009111	protachykinin
OG0001277	component of sp rs
OG0005961	zinc finger and btb domain containing protein
OG0011686	rna binding protein
OG0003700	eh domain containing protein
OG0010803	l lactate dehydrogenase a chain
OG0001192	peptidyl prolyl cis trans isomerase fkbp
OG0000348	phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit
OG0002185	histone lysine n methyltransferase 3 9
OG0010972	tbc domain family member
OG0006225	transmembrane protein
OG0006089	trafficking protein particle complex subunit
OG0007624	small ribosomal subunit protein us
OG0001538	zinc finger protein 703
OG0006709	protein l histidine n pros methyltransferase
OG0008704	prickle protein 1
OG0003181	calpain subunit
OG0008297	transcription elongation factor spt
OG0008133	calcyphosin
OG0001700	transcriptional repressor p66
OG0005429	ubx domain containing protein
OG0010027	transient receptor potential cation channel subfamily m member
OG0007091	serologically defined colon cancer antigen
OG0002690	ran binding 9 10
OG0000990	vesicle associated membrane protein
OG0002147	olfactory receptor protein
OG0014281	beta catenin interacting protein
OG0013983	ubiquitin carboxyl terminal hydrolase
OG0005281	stimulator of interferon genes protein
OG0005559	btb and domain containing protein
OG0013666	1 acylglycerol phosphate o acyltransferase abhd
OG0002824	metalloprotease tiki
OG0011521	tectonic
OG0001627	bah and containing protein
OG0003240	rio serine threonine protein kinase
OG0008000	dolichol kinase
OG0005932	tnfaip interacting protein
OG0000552	a disintegrin and metalloproteinase with thrombospondin motifs
OG0005867	serine rich coiled coil domain containing protein
OG0003882	eukaryotic translation initiation factor gamma
OG0009396	transmembrane protein 184c
OG0006275	nt growth factor receptor
OG0006622	guanine nucleotide binding protein alpha subunit
OG0007858	vitronectin
OG0014917	phospholipid transporting atpase
OG0015446	nuclear rna export factor
OG0004135	intercellular adhesion molecule
OG0010902	gamma tubulin complex component
OG0009550	general transcription factor iie subunit
OG0006790	flywch member
OG0001535	core histone h2a 1
OG0012544	transient receptor potential cation channel subfamily m member
OG0007949	1 acyl sn glycerol phosphate acyltransferase
OG0004042	prostaglandin g h synthase
OG0008448	nucleotide exchange factor sil
OG0011650	calcineurin binding protein cabin
OG0005825	leucine rich repeat containing protein
OG0015090	homeobox protein goosecoid
OG0014787	limbic system associated membrane protein
OG0001097	neuronal acetylcholine receptor subunit alpha
OG0009758	leucine rich repeat transmembrane neuronal protein
OG0007627	btb poz domain containing protein kctd
OG0009249	trafficking protein particle complex subunit
OG0005701	syntaxin
OG0007376	phosphatidylinositol n acetylglucosaminyltransferase subunit h
OG0007917	er membrane protein complex subunit
OG0015143	claudin domain containing protein
OG0007849	u3 small nucleolar rna associated protein
OG0000995	kinesin light chain
OG0007424	clock interacting pacemaker
OG0004830	wd repeat containing protein
OG0010951	cholecystokinin
OG0008889	ribonucleases p mrp protein subunit
OG0013867	transmembrane protein 41b
OG0008647	dna mismatch repair protein muts
OG0005959	hydroxymethylglutaryl coa synthase 54740
OG0015491	unknown sequence family
OG0002932	periphilin
OG0007352	protein phosphatase
OG0014035	tropomodulin
OG0004236	tissue factor
OG0012016	coiled coil domain containing protein
OG0006048	signal recognition particle receptor
OG0007625	mif4g domain containing protein
OG0000667	paired immunoglobulin type receptor beta
OG0008697	netrin receptor unc5c
OG0000706	sushi type and domain containing protein
OG0008853	general transcription factor 3c polypeptide
OG0007717	alpha n acetylglucosaminidase
OG0007728	kelch protein
OG0014367	lysosomal alpha glucosidase
OG0012037	coiled coil domain containing protein
OG0005875	harmonin binding protein ushbp
OG0004111	interleukin receptor subunit alpha
OG0013591	small integral membrane protein
OG0014760	fibroblast growth factor
OG0003266	dna replication atp dependent helicase nuclease
OG0002630	synaptotagmin protein
OG0001983	troponin c skeletal muscle
OG0008173	translocator protein
OG0002258	transmembrane protein
OG0006445	marvel domain containing protein
OG0009853	membrane associated guanylate kinase ww and pdz domain containing protein
OG0014977	chd neighbor protein
OG0009436	claudin
OG0006985	affinity immunoglobulin and receptor
OG0013515	immunoglobulin superfamily member
OG0009258	zinc finger mym type protein
OG0010078	nuclear factor nf kappa b p105 subunit
OG0007417	choline ethanolamine transporter flvcr
OG0008924	collagen alpha chain
OG0000658	transmembrane protease serine
OG0008082	spry domain containing protein
OG0013806	dystrophin protein
OG0001868	v type proton atpase subunit c 1
OG0010134	rds peripherin protein
OG0002724	sodium hydrogen exchanger
OG0000071	myosin
OG0000874	transcription factor myb
OG0014531	zinc finger and protein
OG0012539	polycystin protein
OG0013758	transmembrane protein
OG0004648	metalloproteinase inhibitor
OG0012226	regulator of microtubule dynamics protein
OG0009432	cathepsin l proteinase
OG0005685	uv stimulated scaffold protein a
OG0007244	olfactory receptor
OG0001730	metastasis associated protein mta
OG0007328	protein salvador
OG0013196	histone deacetylase
OG0011562	voltage dependent type calcium channel subunit alpha
OG0002133	rna polymerase ii subunit a c terminal domain phosphatase ssu protein
OG0004734	suppressor of cytokine signaling
OG0002620	fibroblast growth factor
OG0008758	protein scribble
OG0011503	golgin subfamily a member
OG0002586	wd repeat containing protein
OG0011529	chain release factor
OG0004796	sam and domain containing protein
OG0003415	dual specificity protein kinase clk
OG0002722	glyceraldehyde phosphate dehydrogenase
OG0010447	elongator complex protein
OG0012585	cmp n acetylneuraminate beta alpha sialyltransferase
OG0013917	neurotrophin
OG0003960	iron sulfur assembly protein 1 mitochondrial
OG0009344	zinc finger ccch domain containing protein
OG0004076	uveal autoantigen with coiled coil domains and ankyrin repeats protein
OG0007570	tether containing ubx domain for glut
OG0009512	nucleolar mif4g domain containing protein
OG0013120	retrotransposon gag protein
OG0004303	keratin type i cytoskeletal
OG0002368	nacht lrr and pyd domains containing protein
OG0003863	small ribosomal subunit protein
OG0009854	leucine rich repeats and immunoglobulin domains protein
OG0012380	f box and leucine rich protein
OG0014993	golgin subfamily a member protein
OG0002428	brefeldin a inhibited guanine nucleotide exchange protein
OG0006517	gap junction gamma protein
OG0010732	microtubule associated protein
OG0012868	calpain subunit
OG0001668	left right determination factor
OG0006642	sun domain containing protein
OG0011667	mediator of rna polymerase ii transcription subunit
OG0010963	t box transcription factor tbx
OG0004024	catalase
OG0009885	zinc finger protein pegasus
OG0009693	spastin
