Annotee-Identifier	Human-Readable-Description
OG0008594	mediator of rna polymerase ii transcription subunit 8
OG0005566	dna directed rna polymerase iii subunit rpc
OG0007173	myeloid cell surface antigen cd
OG0010759	stromal interaction molecule
OG0005542	calcium calmodulin dependent protein kinase type
OG0000081	olfactory receptor
OG0005225	otu domain containing protein
OG0008191	aconitate hydratase mitochondrial
OG0005441	o 6 methylguanine induced apoptosis
OG0006749	nuclear transition protein
OG0015064	vomeronasal type receptor
OG0012322	protein mono adp ribosyltransferase parp
OG0006765	protein rogdi
OG0002349	solute carrier family member
OG0003480	mrna export factor gle
OG0015319	olfactory receptor
OG0014513	olfactory receptor
OG0011710	interleukin receptor a
OG0001095	caspase
OG0013471	photoreceptor disk component prcd
OG0012955	glucocorticoid induced transcript protein
OG0003596	g t mismatch specific thymine dna glycosylase
OG0010967	thyroid hormone receptor
OG0002231	protein mis
OG0005646	upf protein c15orf40
OG0001459	iroquois class homeodomain protein irx
OG0002834	integrator complex subunit
OG0000751	olfactory receptor protein
OG0005111	prolyl hydroxylase egln
OG0000252	olfactory receptor protein
OG0014152	sarcolipin
OG0004646	insulin degrading enzyme 1
OG0009718	activating signal cointegrator complex subunit
OG0009311	artemin
OG0007730	huntingtin associated protein
OG0008609	beta defensin
OG0003566	guanylate kinase
OG0007222	ral guanine nucleotide dissociation stimulator
OG0014190	cysteinyl leukotriene receptor
OG0013295	iswi chromatin remodeling complex atpase isw
OG0013869	mitochondrial sheath formation associated protein
OG0010056	pyruvate carboxylase
OG0012403	cysteine and tyrosine rich protein
OG0013087	cilia and flagella associated protein
OG0005623	alpha tocopherol transfer protein
OG0001500	signal induced proliferation associated protein
OG0012036	attractin protein
OG0002896	nucleolar and spindle associated protein 1
OG0010243	fez family zinc finger protein
OG0014641	protein wnt
OG0006644	extracellular serine threonine protein kinase
OG0001431	beta galactosyl o glycosyl glycoprotein n acetylglucosaminyltransferase
OG0000429	olfactory receptor
OG0002897	transcription factor e2f7
OG0007354	homeobox protein six
OG0012506	adenylyl sulfate kinase
OG0006571	prkr interacting protein
OG0009735	threonine synthase
OG0010860	leukocyte cell derived chemotaxin
OG0012287	dynein axonemal assembly factor
OG0007920	nuclear cap binding protein subunit
OG0008616	mediator of rna polymerase ii transcription subunit
OG0000318	mitochondrial glutamate carrier
OG0015047	transmembrane protein 120a
OG0005004	u1 small nuclear ribonucleoprotein kda
OG0008189	desumoylating isopeptidase
OG0008216	transcription factor sox
OG0013385	olfactory receptor
OG0012562	extracellular matrix organizing protein fras
OG0013191	sodium coupled neutral amino acid
OG0004426	rho guanine nucleotide exchange factor
OG0011125	vacuolar protein sorting associated
OG0005716	stromal interaction molecule
OG0000192	ubiquitin conjugating enzyme e2 16
OG0013565	na + +
OG0012088	kinase non catalytic c lobe domain containing protein
OG0009822	dna binding transcriptional regulator bola
OG0004717	partitioning defective protein
OG0004266	scavenger receptor cysteine rich domain containing protein
OG0009812	dna directed rna polymerase iii subunit rpc
OG0013026	phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit
OG0001339	galactosylgalactosylxylosylprotein 3 beta glucuronosyltransferase
OG0015202	schlafen family member
OG0000076	zinc finger and scan domain containing protein
OG0010073	testis specific protein 10 interacting
OG0007952	transcription factor myb
OG0009478	hexokinase
OG0008222	nucleolar protein
OG0007806	e3 ubiquitin protein ligase trim
OG0004524	proteasome subunit beta type
OG0010622	leucine rich alpha glycoprotein
OG0006757	litaf domain containing protein
OG0009644	kelch protein
OG0005946	adp ribosylation factor protein
OG0012338	la protein
OG0006572	emilin
OG0012697	e3 ubiquitin protein ligase marchf
OG0014919	protein fam246a
OG0004881	mam domain containing protein
OG0010727	betagal beta n acetylglucosaminyltransferase
OG0007274	phosphoenolpyruvate carboxykinase [gtp]
OG0009340	thyroid transcription factor 1 associated protein
OG0003785	general transcription and factor iih subunit
OG0015042	kelch repeat and btb domain containing protein
OG0004793	ras protein rab
OG0013828	doublecortin domain containing protein
OG0001953	bridging integrator
OG0003736	regulator of cell cycle rgcc
OG0009474	fast kinase domain containing protein
OG0011959	ubiquitin domain containing protein
OG0010957	golgi associated kinase
OG0004740	ph domain leucine rich repeat containing protein phosphatase
OG0013253	adapter protein xk
OG0013055	transport and golgi organization protein
OG0015282	carotenoid cleaving dioxygenase mitochondrial
OG0005000	pih domain containing protein
OG0002357	protein c fos
OG0007151	phosphomevalonate kinase
OG0015361	c chemokine receptor type
OG0007129	glycosylated lysosomal membrane protein
OG0011663	splicing factor ess
OG0002187	glucosamine phosphate deaminase
OG0006836	cilia and flagella associated protein
OG0007474	tryptophan trna ligase
OG0003959	olfactory receptor protein
OG0007615	sheath ww domain binding protein
OG0008993	wolframin
OG0009319	e3 ubiquitin protein ligase ccnb1ip1
OG0014144	olfactory receptor protein
OG0011955	mms nucleotide excision repair protein
OG0011632	pescadillo
OG0010462	cub domain containing protein
